Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
BBFO11,Fundo de Fundos,"62,28","227.042,74","0,85","0,73","1,16 %","3,54 %","7,18 %","14,26 %","1,18 %","1,20 %","1,19 %","12,12 %","0,21 %","1,37 %","25,28 %","291.866.658,78","72,90","0,85","1,04 %","-10,80 %","-9,87 %","-5,59 %",14,"15,84",6.931,N/A,"0,50 % a.a",N/A
BBGO11,Indefinido,"64,40","294.616,17","0,70","0,90","1,37 %","4,12 %","8,47 %","16,72 %","1,37 %","1,41 %","1,39 %","16,58 %","1,37 %","2,76 %","11,94 %","377.603.836,94","94,28","0,68","0,95 %","-3,73 %","-2,81 %","5,06 %",0,"18,90",11.724,N/A,"0,85 % a.a","10,00 % a.a"
BBIG11,Serviços Financeiros Diversos,"6,99","695.819,57","0,68","0,08","1,13 %","3,43 %","6,88 %","14,41 %","1,14 %","1,15 %","1,20 %","11,97 %","1,29 %","2,44 %","23,86 %","1.010.130.407,71",N/A,N/A,N/A,N/A,N/A,N/A,3,"22,66",32.815,N/A,"0,80 % a.a",N/A
BBIM11,Papéis,N/A,N/A,N/A,"0,10","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"667,50",N/A,N/A,"0,00 %","-100,00 %","0,00 %","0,00 %",14,N/A,20,N/A,N/A,N/A
BBRC11,Agências de Bancos,"97,19","72.127,65","0,95","1,05","1,05 %","3,18 %","6,28 %","13,14 %","1,06 %","1,05 %","1,10 %","10,93 %","0,65 %","1,71 %","12,46 %","167.369.988,67","105,26","0,92","1,00 %","-2,23 %","-1,25 %","9,98 %",21,"19,99",8.879,N/A,"0,60 % a.a",N/A
BCIA11,Fundo de Fundos,"83,99","312.991,78","0,87","0,84","0,98 %","2,98 %","5,96 %","12,52 %","0,99 %","0,99 %","1,04 %","10,41 %","1,40 %","2,39 %","23,32 %","364.940.398,26","98,13","0,86","0,86 %","-2,12 %","-1,29 %","3,17 %",14,"17,16",21.523,N/A,"0,50 % a.a","20,00 % a.a"
BCRI11,Papéis,"62,99","519.918,87","0,76","0,88","1,38 %","4,07 %","7,96 %","16,27 %","1,36 %","1,33 %","1,36 %","13,46 %","-2,04 %","-0,69 %","30,22 %","521.476.882,60","83,33","0,76","1,09 %","-17,42 %","-16,52 %","-10,28 %",14,"16,85",42.928,N/A,"1,00 % a.a",N/A
BDIF11,Indefinido,"75,59","1.946.642,74",N/A,"0,60","0,79 %","3,10 %","7,16 %","15,34 %","1,03 %","1,19 %","1,28 %","11,53 %","5,46 %","6,29 %","26,94 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"16,74",0,N/A,"0,75 % a.a","20,00 % a.a"
BDIV11,Indefinido,"41,08","298.561,96",N/A,"1,60","4,13 %","4,13 %","8,64 %","224,27 %","1,38 %","1,44 %","18,69 %","13,59 %","9,19 %","13,70 %","15,47 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"23,83",0,N/A,"1,10 % a.a",N/A
BETW11,Indefinido,N/A,N/A,N/A,"0,49","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"263.656.628,84",N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,2,N/A,N/A,N/A
BICE11,Fundo de Fundos,"895,00","118.533,75","0,83","6,75","0,00 %","0,11 %","0,91 %","5,25 %","0,11 %","0,91 %","0,44 %","3,75 %","0,00 %","0,00 %",N/A,"143.973.753,10","1.079,15","0,83","0,43 %","8,26 %","8,73 %","16,59 %",14,"46,12",117,N/A,N/A,N/A
BICR11,Papéis,"35,92","72,00","0,86","0,36","1,02 %","0,00 %","0,00 %","1,02 %","0,00 %","0,00 %","0,09 %","4,52 %","-10,54 %","-9,63 %","-26,97 %","20.805.910,51","42,51","0,84","0,85 %","-57,20 %","-56,84 %","-52,66 %",14,"30,53",641,N/A,"0,50 % a.a",N/A
BIDB11,Indefinido,"77,83","268.832,57",N/A,"1,00","1,27 %","2,70 %","6,84 %","16,30 %","0,90 %","1,14 %","1,36 %","13,73 %","2,30 %","3,59 %","26,21 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"18,81",0,N/A,"0,80 % a.a",N/A
BIME11,Indefinido,"7,01","40.433,13","0,83","0,08","1,13 %","3,71 %","7,74 %","16,16 %","1,24 %","1,29 %","1,35 %","12,06 %","2,60 %","3,76 %","27,88 %","49.514.016,67","8,47","0,83","1,06 %","-6,20 %","-5,20 %","1,64 %",3,"17,73",8.369,N/A,"1,50 % a.a","20,00 % a.a"
BINC11,Papéis,"97,93","880.354,13",N/A,"1,18","1,32 %","0,00 %","2,56 %","9,40 %","0,00 %","0,43 %","1,34 %","7,40 %","1,14 %","2,48 %","13,81 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"21,30",0,N/A,"0,90 % a.a",N/A
BIPD11,Indefinido,"972,83","760.000,00","0,98","27,17","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"109.871.596,98",N/A,N/A,N/A,N/A,N/A,N/A,1,"8,18",112,N/A,N/A,N/A
BLCA11,Indefinido,"96,00","272.140,57","0,74","0,50","0,55 %","2,04 %","3,72 %","7,08 %","0,68 %","0,62 %","0,59 %","5,48 %","-0,27 %","0,28 %","6,60 %","204.218.442,34","127,64","0,75","0,67 %","-11,13 %","-10,53 %","26,49 %",1,"71,23",459,N/A,"1,15 % a.a","20,00 % a.a"
BLMC11,Papéis,"85,75","150.671,33","1,34","5,34","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,74 %","0,00 %","0,00 %",N/A,"118.155.565,38","94,69","0,91","1,13 %","-1,48 %","-0,36 %","2,88 %",14,"3,23",8.102,N/A,N/A,N/A
BLMG11,Imóveis Industriais e Logísticos,"32,75","506.865,26","0,47","0,36","1,06 %","3,07 %","6,23 %","17,21 %","1,02 %","1,04 %","1,43 %","12,69 %","2,56 %","3,65 %","28,12 %","331.602.528,57","70,94","0,46","0,51 %","-26,06 %","-25,68 %","-22,48 %",2,"31,56",12.785,N/A,"0,95 % a.a","20,00 % a.a"
BLMO11,Lajes Corporativas,"89,00","4.303,90","0,85","0,53","0,60 %","1,86 %","4,02 %","7,74 %","0,62 %","0,67 %","0,65 %","6,43 %","5,95 %","6,59 %","37,73 %","104.213.475,45","104,76","0,85","0,51 %","-99,65 %","-99,64 %","-99,59 %",1,"44,28",313,N/A,"1,00 % a.a","15,00 % a.a"
BLMR11,Fundo de Fundos,"6,78","1.157.702,33","0,11","0,37","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"118.155.565,38","7,61","0,89","0,70 %","-1,68 %","-0,99 %","1,82 %",14,"3,49",8.102,N/A,"1,00 % a.a","20,00 % a.a"
BLOG11,Misto,"9,80","704,09","0,87","0,02","0,20 %","0,57 %","1,60 %","4,78 %","0,57 %","0,27 %","0,40 %","2,76 %","-6,82 %","-6,63 %","-8,76 %","346.922.775,80",N/A,N/A,N/A,N/A,N/A,N/A,6,"77,26",102,"0,85 % a.a","0,20 % a.a",N/A
