"Ticker","Nome","Negócios","Última (R$)","Variação"
"PATI4","Panatlântica","200","38,53","+7,03%"
"MRSA3B","MRS Logística","200","27,88","+0,00%"
"RPAD6","Alfa Holdings","200","4,76","+14,70%"
"SNSY5","Sansuy","200","3,48","+0,87%"
"CGAS3","Comgás","100","127,99","+2,39%"
"BALM3","Baumer","100","20,90","+0,00%"
"BMIN4","Banco Mercantil de Investimentos","100","16,74","-1,53%"
"CBEE3","Ampla Energia","100","11,04","+3,66%"
"BRKM6","Braskem","100","8,29","+0,00%"
"CALI11","CALI11","100","3,85","-3,75%"
"PSVM11","PORTO VM","3.300","6,00","+0,00%"
"GEPA3","Rio Paranapanema Energia","600","34,00","+3,19%"
"BMEB3","Banco Mercantil do Brasil","300","40,60","-3,33%"
"MRSA5B","MRS Logística","300","24,50","+0,00%"
"MRSA6B","MRS Logística","200","25,00","+0,00%"
"CCTY3","REDVECO PROPERTIES S.A","100","36,60","-0,08%"
"CCTY3","RDVC CITY","100","36,60","-0,08%"
"ESTR4","Estrela","5.500","6,00","+10,50%"
"CEDO3","Cedro Têxtil","400","19,00","-9,52%"
"SOND6","Sondotécnica","100","57,11","+7,94%"
"EKTR3","Elektro","100","49,00","+0,00%"
"AFLT3","Afluente T","1.800","7,26","+2,40%"
"PINE11","Banco Pine","800","12,07","-3,44%"
"CRPG6","Tronox Pigmentos","500","14,99","+1,28%"
"CTSA3","Santanense","500","2,71","-5,90%"
"ELET5","Eletrobras","100","78,75","-4,55%"
"DTCY3","Dtcom","300","2,80","-3,45%"
"NORD3","Nordon","200","5,33","+0,38%"
"RPAD3","Alfa Holdings","200","4,93","+0,41%"
"ADMF3","REAG TRUST S.A","100","70,00","-1,41%"
"MSPA3","Melhoramentos","100","46,00","-1,08%"
"COCE3","Coelce","300","37,50","+1,35%"
"BGIP3","Banese","300","37,00","-13,95%"
"IGTI4","Iguatemi","200","10,49","+0,87%"
"IGTI4","Jereissati Participações","200","10,49","+0,87%"
"CTKA3","Karsten","100","35,00","+6,06%"
"BMIN3","Banco Mercantil de Investimentos","100","22,99","+0,04%"
"GPAR3","CELGPAR","100","15,05","-34,28%"
"SOND5","Sondotécnica","100","54,98","-8,26%"
"CALI3","Adolpho Lindenberg","100","17,05","+5,90%"
"MSPA4","Melhoramentos","100","40,00","+0,00%"
"CEED3","CEEE D","100","9,00","+0,11%"
