TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BEEF3;6,47;;-7,64;4,53;0,15;19,01;7,07;-1,91;2,06;6,58;4,52;9,92;0,15;0,93;-0,38;1,34;-59,34;-1,90;10,74;0,03;0,95;1,00;14,75;;72.137.304,35;1,43;-0,85;0,01;6.469.855.712,53
BEES3;8,16;5,85;7,61;1,20;0,07;31,53;10,44;7,81;5,69;5,71;;;0,59;0,35;-0,09;;15,77;0,96;;0,06;0,94;0,12;17,11;11,60;171.809,61;6,80;1,07;0,60;2.844.039.610,50
BEES4;8,25;6,10;7,70;1,21;0,07;31,53;10,44;7,81;5,76;5,71;;;0,60;0,35;-0,09;;15,77;0,96;;0,06;0,94;0,12;17,11;11,60;77.854,87;6,80;1,07;0,60;2.844.039.610,50
BFRE11;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BFRE12;0,00;;0,00;0,00;0,00;100,00;195,96;118,16;0,00;;;;0,00;0,00;0,00;;6,82;5,98;;0,88;0,10;0,05;;6,26;;309.815,90;21.126,92;0,00;
BGIP3;37,00;7,34;5,28;0,96;0,06;35,60;15,59;10,90;3,69;3,23;;;0,58;8,87;-0,06;;18,15;1,22;;0,07;0,93;0,11;13,57;12,55;23.233,17;38,62;7,01;0,03;696.546.470,10
BGIP4;27,65;10,80;3,95;0,72;0,05;35,60;15,59;10,90;2,76;3,23;;;0,43;6,63;-0,05;;18,15;1,22;;0,07;0,93;0,11;13,57;12,55;67.182,81;38,62;7,01;0,02;696.546.470,10
BHIA3;4,89;;-2,01;0,99;0,10;30,06;-1,82;-5,98;-6,61;-20,98;-14,38;2,15;0,12;-0,79;-0,17;0,76;-49,14;-5,11;-11,40;0,10;0,90;0,85;1,39;;28.868.760,96;4,96;-2,44;0,18;3.197.465.366,22
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;;3,22;-0,01;0,12;8.991.139.764,53
